,symbol,time stamp,open,high,low,close,volume
35223,TSLA,2023-02-24 15:03,196.9099,196.96,196.81,196.86,239662
35224,TSLA,2023-02-24 15:04,196.86,196.87,196.45,196.53,422544
35225,TSLA,2023-02-24 15:05,196.5295,196.82,196.52,196.775,320183
35226,TSLA,2023-02-24 15:06,196.79,197.17,196.75,197.0902,377708
35227,TSLA,2023-02-24 15:07,197.09,197.184,196.91,197.0792,239811
35228,TSLA,2023-02-24 15:08,197.09,197.13,196.82,197.0994,262820
35229,TSLA,2023-02-24 15:09,197.0858,197.3,197.07,197.21,370591
35230,TSLA,2023-02-24 15:10,197.21,197.34,196.91,196.9385,360812
35231,TSLA,2023-02-24 15:11,196.94,197.1396,196.87,196.98,247934
35232,TSLA,2023-02-24 15:12,196.95,196.98,196.67,196.79,293748
35233,TSLA,2023-02-24 15:13,196.79,196.89,196.66,196.83,211757
35234,TSLA,2023-02-24 15:14,196.84,196.99,196.67,196.735,195866
35235,TSLA,2023-02-24 15:15,196.7387,196.8,196.56,196.57,235584
35236,TSLA,2023-02-24 15:16,196.5799,196.8,196.55,196.6148,218597
35237,TSLA,2023-02-24 15:17,196.63,196.7979,196.6,196.72,193715
35238,TSLA,2023-02-24 15:18,196.725,197.18,196.71,197.04,407235
35239,TSLA,2023-02-24 15:19,197.05,197.085,196.87,197.045,185151
35240,TSLA,2023-02-24 15:20,197.06,197.28,196.8801,197.1284,428063
35241,TSLA,2023-02-24 15:21,197.13,197.28,196.94,197.02,259231
35242,TSLA,2023-02-24 15:22,197.01,197.0399,196.62,196.7408,275066
35243,TSLA,2023-02-24 15:23,196.74,196.83,196.55,196.732,282733
35244,TSLA,2023-02-24 15:24,196.7243,196.8,196.65,196.7499,188496
35245,TSLA,2023-02-24 15:25,196.74,196.94,196.5,196.8901,378378
35246,TSLA,2023-02-24 15:26,196.905,197.069,196.79,196.8599,349450
35247,TSLA,2023-02-24 15:27,196.87,196.9896,196.5,196.6,338206
35248,TSLA,2023-02-24 15:28,196.59,196.63,196.34,196.445,277638
35249,TSLA,2023-02-24 15:29,196.44,196.53,196.0928,196.2,397927
35250,TSLA,2023-02-24 15:30,196.2,196.3595,196.0,196.1481,367813
35251,TSLA,2023-02-24 15:31,196.162,196.3299,196.08,196.275,266965
35252,TSLA,2023-02-24 15:32,196.3,196.4,196.19,196.28,306598
35253,TSLA,2023-02-24 15:33,196.275,196.49,196.1,196.41,277801
35254,TSLA,2023-02-24 15:34,196.4156,196.46,196.24,196.29,233923
35255,TSLA,2023-02-24 15:35,196.26,196.34,196.15,196.2948,234103
35256,TSLA,2023-02-24 15:36,196.29,196.43,196.04,196.165,336792
35257,TSLA,2023-02-24 15:37,196.175,196.18,195.91,196.09,348941
35258,TSLA,2023-02-24 15:38,196.0659,196.34,196.03,196.272,308850
35259,TSLA,2023-02-24 15:39,196.2701,196.42,196.15,196.2001,300211
35260,TSLA,2023-02-24 15:40,196.2116,196.3053,196.08,196.16,232835
35261,TSLA,2023-02-24 15:41,196.17,196.28,196.045,196.112,192390
35262,TSLA,2023-02-24 15:42,196.1,196.27,196.07,196.1558,219296
35263,TSLA,2023-02-24 15:43,196.16,196.388,196.16,196.365,249612
35264,TSLA,2023-02-24 15:44,196.3699,196.43,196.16,196.2,328493
35265,TSLA,2023-02-24 15:45,196.188,196.24,196.0,196.167,320706
35266,TSLA,2023-02-24 15:46,196.1565,196.3,196.07,196.13,205305
35267,TSLA,2023-02-24 15:47,196.14,196.18,195.97,196.08,241581
35268,TSLA,2023-02-24 15:48,196.07,196.13,195.85,195.94,348985
35269,TSLA,2023-02-24 15:49,195.96,196.04,195.868,195.97,228778
35270,TSLA,2023-02-24 15:50,195.99,196.13,195.66,195.72,526217
35271,TSLA,2023-02-24 15:51,195.7258,196.06,195.71,196.028,327453
35272,TSLA,2023-02-24 15:52,196.04,196.26,195.996,196.2599,336458
35273,TSLA,2023-02-24 15:53,196.26,196.55,196.2301,196.382,439701
35274,TSLA,2023-02-24 15:54,196.4,196.87,196.35,196.845,542109
35275,TSLA,2023-02-24 15:55,196.83,197.15,196.66,196.73,714473
35276,TSLA,2023-02-24 15:56,196.73,196.97,196.715,196.9401,392830
35277,TSLA,2023-02-24 15:57,196.94,197.0,196.78,196.88,419713
